date,id,windspeed,winddirection,airtemp,humidity,rainfall,shortwave,longwave,pressure,surfacetemp,subsurfacetemp,salinity,waterpressure,current
2007-12-05 20:12:31,35,4.1,119,-1.7,60,25.62,497.11,58.85,1042.0,33.25,28.34,6.97,63.17,0.11
2010-08-25 02:11:49,43,5.53,231,38.3,59,4.36,692.37,119.55,838.7,13.65,-7.51,2.72,169.5,0.15
2015-10-02 06:02:52,67,1.29,115,18.6,60,35.34,631.7,275.82,808.0,38.24,-8.66,20.36,110.63,0.1
2014-06-17 16:21:48,37,18.16,110,29.1,66,27.99,1169.66,759.43,753.9,5.77,-9.84,17.43,119.72,0.29
2016-03-22 00:52:04,27,15.74,317,36.5,57,27.98,1428.11,411.56,753.9,29.81,15.16,15.35,12.8,0.46
2010-01-28 01:39:11,86,1.77,203,25.2,64,18.45,549.84,467.57,836.6,12.82,18.79,24.85,109.39,0.31
2008-06-14 06:12:07,10,18.26,307,22.8,61,33.65,588.86,477.32,1009.4,-3.16,-6.68,20.63,159.14,0.0
2010-06-30 01:46:29,56,8.64,6,19.5,62,17.85,62.57,429.11,892.9,36.86,-1.61,38.84,171.8,0.26
2015-12-04 12:07:57,4,10.9,242,24.2,69,7.72,1641.17,561.38,704.3,-6.75,36.11,28.52,23.4,0.53
2014-10-31 10:05:13,92,7.86,260,-3.5,66,31.68,42.44,781.32,882.8,32.51,-7.91,9.46,110.9,0.48
2012-10-01 09:24:14,44,11.73,58,-2.9,60,5.19,514.45,856.56,756.4,-8.12,32.48,28.81,166.92,0.0
2017-08-09 14:15:19,83,4.28,296,-3.1,57,14.88,332.99,763.75,812.9,27.4,5.47,2.16,55.29,0.4
2010-01-24 02:37:23,83,1.32,5,16.4,69,16.91,1169.76,655.34,988.7,26.25,-1.65,23.86,75.23,0.99
2014-12-15 23:10:35,59,10.2,54,19.4,68,32.4,911.26,387.28,877.7,9.96,-7.64,10.4,50.2,0.67
2015-09-06 08:02:05,97,0.75,314,-3.9,59,2.65,802.17,843.72,942.1,38.47,6.65,21.13,38.48,0.13
2008-07-08 14:59:40,57,5.37,162,18.7,58,30.19,46.26,431.64,975.9,28.66,14.49,34.94,35.84,0.78
2014-06-08 05:15:18,85,0.66,283,-3.3,65,44.71,209.43,206.17,997.7,-3.34,33.65,25.3,37.35,0.67
2017-05-10 18:48:29,19,9.24,153,16.1,65,20.61,535.93,282.45,1110.0,21.27,1.32,32.6,111.14,0.7
2010-03-18 02:22:07,98,0.14,134,11.9,62,43.54,1343.93,347.49,944.7,3.9,35.66,38.56,129.49,0.43
2015-11-25 11:54:11,78,9.51,262,-2.2,62,4.8,717.58,149.76,745.2,-4.39,39.54,21.3,68.94,0.27
2012-08-20 00:12:58,98,6.58,285,-6.2,64,32.99,369.63,667.9,974.4,31.87,36.54,23.58,46.91,0.61
2017-04-02 07:49:43,56,9.8,206,-3.1,65,21.56,105.37,-2.55,904.5,25.9,12.78,17.83,141.22,0.16
2009-02-10 22:50:10,80,1.34,230,34.8,63,26.72,22.57,606.76,724.0,7.35,11.83,26.25,13.68,0.14
2008-03-13 01:42:33,92,14.44,255,11.4,65,5.82,1339.58,288.83,769.9,-4.14,9.87,1.2,36.6,0.5
2011-12-25 18:01:29,6,0.31,167,-1.3,61,44.2,663.46,366.91,1143.3,11.37,28.1,13.46,182.89,0.9
2015-07-05 07:39:21,45,17.25,82,-2.0,60,28.54,392.17,302.83,969.8,20.19,-9.34,33.48,88.44,0.5
2011-06-11 06:24:44,41,0.86,287,-4.6,67,6.92,1960.37,474.36,940.0,-4.41,-3.6,6.5,172.15,0.29
2014-05-30 10:19:12,35,9.2,215,-6.6,57,44.25,579.16,176.68,765.6,-9.91,19.1,23.52,126.17,0.45
2012-07-22 17:55:48,11,0.67,251,-6.1,62,49.3,1288.46,221.6,889.9,-5.84,6.85,29.56,126.28,0.98
2017-11-01 12:20:31,21,3.2,254,25.4,68,21.6,1272.3,125.25,895.7,-9.88,24.9,21.72,117.76,0.7
2012-04-24 14:12:29,57,4.52,119,21.6,63,5.98,1833.67,665.28,848.0,9.48,0.57,15.73,69.86,0.65
2011-08-10 23:28:51,51,17.1,302,33.0,69,33.27,1094.37,20.99,869.0,2.44,0.82,2.9,43.94,0.46
2016-06-20 09:51:41,34,14.7,225,34.3,63,0.68,788.95,860.57,854.3,18.7,33.84,35.25,191.8,0.45
2015-09-22 08:54:11,77,5.83,267,34.1,59,14.69,250.71,346.48,984.2,-8.75,32.31,37.45,112.82,0.65
2015-12-22 20:04:46,1,1.41,248,-4.8,69,12.37,1596.94,109.52,1151.8,20.61,39.8,23.1,171.79,0.49
2014-08-13 03:02:49,93,18.95,68,20.6,67,15.58,654.72,881.3,791.8,-3.41,-9.41,38.52,128.4,0.39
2013-03-20 09:33:23,26,3.56,339,18.9,68,40.31,1221.21,993.38,770.1,15.96,-4.92,26.29,25.42,0.14
2008-04-17 08:49:49,55,17.6,348,24.4,60,49.58,1354.19,103.95,1048.7,34.13,-6.7,8.86,16.27,0.35
2017-05-26 16:46:23,96,17.5,102,34.2,58,45.78,1059.88,514.94,973.5,32.7,3.6,5.71,46.9,0.9
2013-07-26 21:48:07,98,2.68,340,16.4,63,24.79,1018.68,882.37,1098.0,15.16,7.12,3.38,29.36,0.9
2013-01-09 10:21:55,28,17.61,32,23.4,58,8.28,1853.9,29.72,911.3,2.61,3.79,21.39,150.5,0.12
2014-11-14 09:58:12,100,0.93,288,24.6,62,17.77,1254.9,854.95,988.7,9.79,27.82,21.4,193.42,0.29
2015-06-27 05:11:25,42,15.41,165,38.3,59,47.8,175.8,972.31,989.0,10.54,6.54,12.94,85.59,0.93
2015-05-11 02:40:05,18,6.48,75,-5.4,62,24.74,335.12,944.62,1093.5,37.67,7.53,5.72,136.25,0.88
2014-08-23 15:08:34,95,13.72,288,-5.0,60,10.1,1861.88,593.3,956.8,12.86,-6.88,1.65,79.25,0.26
2010-09-01 16:04:44,17,3.17,290,-2.5,58,7.59,859.2,349.71,899.2,19.94,36.94,11.29,22.74,0.43
2012-12-16 22:10:20,60,12.52,263,22.2,61,5.3,1294.2,892.5,1025.7,9.82,0.11,13.94,116.86,0.61
2012-03-18 11:13:09,24,5.69,69,-3.5,65,12.18,573.53,902.8,761.4,37.54,34.24,9.1,60.0,0.98
2007-11-13 16:12:47,41,2.42,177,-3.4,56,42.52,1174.8,281.16,728.0,20.8,1.26,35.51,43.1,0.0
2010-11-30 19:49:22,86,19.38,137,21.0,59,27.71,538.96,851.9,1100.3,18.48,-1.0,12.21,150.18,0.24
2007-12-25 05:43:56,60,1.74,321,-1.1,62,36.76,1228.8,362.68,1053.6,-4.5,25.94,2.22,106.51,0.69
2014-04-03 21:02:05,27,6.27,293,15.2,60,46.94,116.17,427.45,1058.3,35.47,4.97,0.8,65.98,0.86
2011-08-28 22:48:29,71,18.88,258,22.0,66,28.48,1792.49,183.25,705.2,38.18,5.29,26.4,98.71,0.21
2013-07-12 07:33:53,65,7.93,16,27.4,58,29.61,93.79,601.8,955.2,15.56,23.9,35.65,18.12,0.44
2013-09-14 04:04:43,34,1.81,228,23.0,69,46.18,1470.44,250.43,953.1,34.6,33.9,8.2,16.26,0.97
2017-05-05 05:27:35,2,9.22,181,29.1,57,49.14,689.14,792.31,1053.5,0.6,-3.53,9.26,103.68,0.9
2010-01-21 23:22:03,42,5.17,343,-5.7,63,7.84,311.14,797.52,1007.1,-7.15,24.31,38.66,55.84,0.46
2009-12-18 19:03:50,90,17.57,76,-5.0,69,47.63,22.56,598.65,996.7,0.97,7.76,25.2,42.83,0.24
2011-07-17 04:51:23,19,4.35,64,11.1,59,37.57,1429.11,11.81,1009.1,-6.7,-6.64,10.46,184.58,0.35
2017-01-19 00:39:47,54,11.27,328,-4.0,64,4.72,902.13,999.26,1147.1,38.32,20.84,39.1,53.12,0.67
2010-10-14 13:19:41,24,9.49,226,-4.2,68,43.87,1290.92,717.44,1069.5,17.24,-3.44,35.36,71.5,0.15
2009-02-22 04:30:08,4,19.38,294,-6.0,67,38.27,91.72,716.32,747.1,27.0,14.39,14.88,156.37,0.26
2015-02-18 00:58:33,83,9.44,32,15.5,61,35.56,403.45,-52.53,937.7,27.98,17.29,36.54,61.58,0.79
2012-05-29 20:03:40,25,8.55,13,20.9,68,33.87,936.3,387.63,1048.9,15.68,8.17,37.75,135.37,0.99
2010-06-30 06:15:19,59,16.76,76,21.9,64,19.2,1445.14,177.47,1171.3,19.4,38.67,2.59,23.23,0.2
2016-07-19 12:22:03,72,3.44,85,-6.7,69,38.93,940.82,574.98,924.7,32.82,17.12,24.84,104.1,0.43
2012-09-12 19:25:08,44,8.23,273,-4.5,62,46.84,1867.11,173.8,1004.2,20.7,19.53,8.38,93.68,0.21
2016-12-10 06:46:18,85,16.94,67,26.3,69,17.92,21.95,902.23,865.2,18.45,-1.43,31.88,59.37,0.71
2016-10-07 07:58:06,19,11.51,327,23.3,67,16.57,1530.13,517.25,1145.0,6.34,7.91,34.33,127.64,0.8
2016-05-22 19:12:45,40,7.33,248,15.8,57,24.46,413.62,32.69,789.1,27.15,20.1,0.2,166.87,0.52
2014-04-24 09:45:02,27,1.92,96,32.6,59,2.74,704.34,711.58,703.0,6.72,22.48,16.9,39.89,0.21
2013-03-31 21:23:04,96,12.14,333,23.4,60,29.17,1021.41,448.45,837.1,19.56,22.67,22.3,19.84,0.5
2015-07-08 18:39:01,83,0.25,197,37.1,66,42.2,1915.37,418.11,737.7,-8.35,34.23,38.5,14.33,0.91
2015-12-13 14:13:13,6,15.68,355,12.4,59,44.84,1564.95,782.42,1160.0,1.42,5.22,1.15,93.69,0.1
2015-06-02 07:20:06,88,13.35,298,19.8,67,37.71,1616.7,630.8,1123.5,-8.49,21.53,13.29,43.0,0.75
2012-10-07 17:27:52,51,2.71,209,24.3,64,11.39,1460.88,363.72,1062.1,-8.23,-1.93,11.61,128.28,0.43
2010-12-18 20:37:46,58,5.98,198,21.2,61,23.34,494.52,714.67,772.0,4.9,-3.78,23.61,35.66,0.72
2015-04-05 18:12:40,33,19.52,110,16.2,64,26.41,1512.38,605.5,781.3,11.84,20.84,12.4,187.68,0.11
2011-11-22 09:02:20,25,2.77,88,28.6,60,49.73,654.22,221.7,1157.5,-9.69,11.21,6.5,125.53,0.16
2009-09-08 08:08:15,81,18.79,1,12.0,58,16.14,1591.1,335.63,1097.9,22.52,8.37,35.94,164.92,0.37
2008-08-13 20:13:47,10,5.9,54,23.9,59,24.69,1664.51,560.38,1140.1,18.42,34.84,17.82,167.34,0.6
2014-06-25 15:39:59,29,12.41,68,23.6,58,27.1,1446.43,227.97,795.0,27.33,14.67,18.2,107.66,0.31
2008-01-03 04:49:25,100,7.67,131,14.5,56,11.55,1483.12,91.28,705.2,36.65,35.68,18.59,104.72,0.1
2015-04-17 17:55:10,31,16.2,84,-1.6,67,48.4,967.38,659.6,1124.1,39.67,20.45,11.62,137.59,0.55
2013-04-13 09:44:42,79,16.7,235,14.9,60,47.7,1483.56,957.3,935.9,34.38,4.66,37.44,108.35,0.25
2011-08-11 12:34:18,79,4.69,8,-4.4,69,3.79,691.44,98.59,898.1,34.47,1.41,12.35,28.16,0.2
2008-05-09 11:44:23,41,2.6,56,-6.7,63,33.78,1839.42,486.3,1188.5,-9.13,9.17,31.54,14.6,0.97
2013-11-17 00:48:07,1,10.3,228,23.4,69,46.71,1809.76,639.65,757.8,22.54,23.44,15.86,4.95,0.75
2008-11-07 18:41:09,68,12.52,304,35.8,65,0.69,504.78,857.79,954.8,33.27,-1.77,27.78,115.4,0.6
2016-11-04 17:47:04,31,2.42,2,38.8,69,18.77,816.4,990.54,1196.0,0.38,30.37,21.15,56.43,0.89
2015-05-31 18:02:05,23,10.67,59,11.4,56,37.97,996.68,684.93,795.3,19.92,-5.7,6.61,63.3,0.48
2014-08-31 16:54:05,6,16.7,61,-2.9,62,44.53,135.56,-91.25,854.0,19.23,9.11,19.83,103.82,0.84
2013-03-17 05:25:40,78,16.71,121,-2.5,62,30.5,1534.27,775.48,1060.7,3.12,-8.27,2.26,38.76,0.78
2012-04-29 07:00:01,81,1.42,220,16.5,64,35.43,1454.51,373.56,754.2,9.72,37.9,1.89,184.32,0.13
2011-01-03 05:51:21,57,11.46,181,25.2,69,36.97,123.21,764.36,1082.1,5.49,20.86,0.93,73.5,0.41
2008-11-28 10:22:22,54,13.19,186,-2.6,70,28.97,1731.45,948.27,1192.5,6.96,7.44,8.52,1.98,0.27
2014-06-10 08:10:42,70,19.66,294,-6.3,64,34.71,1315.28,33.88,1099.8,31.33,37.46,5.55,166.24,0.3
2008-06-02 20:23:18,46,6.15,24,32.8,65,27.97,1135.94,-75.77,753.7,14.88,31.14,10.19,20.8,0.58
2008-09-03 12:25:52,62,4.83,93,17.1,68,3.14,1736.97,-76.54,987.2,19.7,24.15,30.2,20.15,0.24
2017-08-13 19:30:03,2,10.47,237,18.4,61,15.8,1914.87,138.27,1013.2,7.84,1.42,12.2,63.4,0.87
2008-06-30 04:41:17,20,12.6,141,21.0,59,0.82,966.6,275.89,1141.8,16.82,11.97,39.28,105.71,0.81
2013-06-14 05:44:59,82,6.61,181,24.5,62,32.82,1663.93,923.52,756.5,29.69,23.26,18.45,4.65,0.87
2017-05-21 05:27:00,97,2.83,256,-4.3,60,0.34,1819.43,136.43,943.1,37.45,27.75,15.85,19.29,0.98
2010-09-29 08:33:32,70,19.78,149,-4.0,69,25.99,48.37,-26.9,727.2,21.33,-4.55,9.57,178.65,0.57
2014-01-19 21:14:57,91,19.96,167,17.1,63,31.8,1736.69,159.87,920.4,34.61,16.65,8.76,85.25,0.46
2013-10-30 15:58:28,61,11.48,270,-6.2,62,11.83,613.11,386.51,918.2,23.55,22.62,13.35,126.65,0.77
2009-12-24 15:43:09,45,1.35,246,-2.2,66,38.85,0.34,214.0,889.6,23.69,35.32,14.79,189.5,0.51
2012-03-07 01:48:35,30,6.5,120,11.4,67,26.86,21.93,577.47,992.9,31.0,17.35,17.34,194.18,0.31
2014-11-27 00:55:23,3,12.71,17,21.9,61,5.99,1861.5,383.12,792.7,-7.29,37.29,38.39,42.85,0.65
2012-02-10 14:35:42,76,14.64,35,17.4,62,38.83,1107.34,145.18,939.0,-8.51,16.37,11.36,4.96,0.4
2016-05-08 13:04:47,72,1.45,192,-2.6,57,9.77,633.32,814.1,732.3,36.85,25.6,8.3,129.14,0.4
2010-07-31 20:30:11,60,15.0,110,15.6,70,1.0,340.4,886.1,1160.6,20.4,32.66,23.3,20.69,0.95
2016-06-04 15:38:01,29,19.35,323,14.8,69,48.89,1513.46,990.29,1023.2,24.34,38.11,37.87,164.71,0.94
2013-02-15 01:16:12,81,12.48,273,23.4,68,9.82,695.14,711.5,1198.3,2.97,13.38,22.51,164.64,0.11
2015-08-15 17:50:14,98,2.65,74,-3.6,66,16.93,1290.58,892.82,829.9,-4.28,8.81,6.17,82.57,0.95
2013-04-22 12:28:51,88,18.98,80,17.8,69,43.55,475.4,394.5,987.6,3.97,12.27,5.17,128.54,0.24
2013-01-28 16:41:27,38,19.56,202,24.7,62,10.61,1739.88,961.81,870.3,33.24,2.97,35.46,12.7,0.18
2010-03-22 09:26:28,22,4.79,86,-4.0,69,5.96,1706.96,984.44,1052.7,-9.73,17.35,3.23,85.4,0.2
2013-04-20 00:27:10,54,2.42,100,33.6,60,30.38,875.43,64.49,891.1,14.95,-9.28,37.72,17.4,0.71
2007-12-08 16:50:20,62,3.42,257,-5.7,60,24.58,1382.26,488.45,704.3,36.72,28.65,18.37,63.57,0.58
2016-03-11 06:35:50,78,10.77,264,-2.0,64,43.19,578.87,154.58,956.4,4.57,2.52,0.8,109.66,0.14
2011-12-15 13:39:01,61,9.38,23,18.1,60,6.3,1069.48,512.88,1072.2,11.66,29.17,39.51,82.9,0.85
2015-01-30 02:01:38,92,17.46,219,29.2,68,13.51,1792.83,713.99,1000.4,18.37,17.2,24.46,116.96,0.14
2012-10-11 16:33:03,20,19.8,134,-2.2,66,1.4,1157.4,-40.72,733.3,35.87,33.27,3.25,33.94,0.77
2015-06-17 09:53:24,97,13.2,233,-2.2,62,2.21,54.94,151.28,865.6,6.3,12.12,25.54,196.73,0.55
2009-02-22 03:04:27,88,16.61,142,18.3,68,34.62,142.45,967.76,747.2,20.52,32.59,36.77,49.97,0.99
2009-08-25 04:15:59,27,10.47,330,-1.1,56,21.69,657.54,293.36,872.8,11.78,18.53,31.67,183.55,0.79
2009-08-08 23:56:57,76,9.16,74,25.0,65,47.69,945.68,292.37,891.4,1.67,0.96,26.48,111.17,0.92
2012-01-23 02:45:43,93,16.2,49,34.0,69,46.77,790.22,490.17,782.3,13.95,37.48,27.2,174.63,0.35
2011-11-02 01:30:19,21,18.31,70,-1.6,64,12.69,111.73,300.12,706.4,37.48,15.58,29.72,15.79,0.79
2013-10-25 10:46:09,35,15.44,99,-4.7,60,36.5,566.22,-76.69,990.6,-5.7,24.16,25.3,27.24,0.73
2008-06-18 18:18:39,84,17.36,280,35.5,60,43.94,1245.4,974.48,937.2,2.0,-4.16,5.68,173.7,0.61
2011-04-25 08:07:14,5,19.31,182,31.8,60,42.89,63.63,586.12,1030.6,4.8,16.92,23.33,151.78,0.6
2013-08-17 20:13:48,96,7.35,85,-2.2,59,43.57,1662.48,744.25,741.1,26.11,-2.18,31.4,40.63,0.38
2007-12-29 09:54:03,55,8.92,101,20.9,69,37.3,249.25,-1.99,844.7,22.82,38.32,32.45,189.8,0.27
2017-01-16 08:33:14,43,12.15,165,-2.1,57,49.38,1893.1,724.76,1196.3,28.12,5.5,16.25,42.91,0.3
2017-01-09 05:34:56,58,19.49,241,28.2,63,12.9,1615.23,553.93,971.3,22.85,32.58,36.5,174.26,0.15
2016-02-12 01:48:26,28,10.31,341,-4.0,67,29.76,1670.7,237.1,770.8,24.41,27.4,31.95,114.23,0.56
2009-10-17 02:10:19,72,3.5,295,-6.6,56,38.55,835.94,340.59,1030.7,14.1,37.16,38.95,15.65,0.36
2016-08-29 17:59:22,25,6.0,119,-5.5,68,33.11,5.18,806.39,733.9,19.9,-1.62,19.41,165.11,0.28
2009-01-13 06:55:39,67,4.2,81,-3.0,56,10.45,329.32,374.4,1075.2,36.11,35.51,35.8,24.2,0.44
2009-06-08 11:40:16,51,4.14,253,15.8,65,4.86,272.22,500.57,789.1,7.2,24.67,8.41,69.78,0.23
2010-05-21 11:19:00,49,10.84,270,19.8,59,36.59,322.8,387.45,1109.0,11.72,9.6,7.46,132.66,0.58
